source_row,l1,l2,l3,l4,l1_zh,l2_zh,l3_zh,l4_zh,category_path,category_path_zh
1,Stationery,Notebooks & Papers,Art Paper & Boards,,文具,笔记本与纸张,美术纸与画板,,Stationery > Notebooks & Papers > Art Paper & Boards,文具 > 笔记本与纸张 > 美术纸与画板
2,Stationery,Notebooks & Papers,Book Covers,,文具,笔记本与纸张,书皮,,Stationery > Notebooks & Papers > Book Covers,文具 > 笔记本与纸张 > 书皮
3,Stationery,Notebooks & Papers,Others,,文具,笔记本与纸张,其他,,Stationery > Notebooks & Papers > Others,文具 > 笔记本与纸张 > 其他
4,Stationery,Art Supplies,Sketch Books,,文具,美术用品,素描本,,Stationery > Art Supplies > Sketch Books,文具 > 美术用品 > 素描本
5,Stationery,Letters & Envelopes,Envelopes,,文具,信件与信封,信封,,Stationery > Letters & Envelopes > Envelopes,文具 > 信件与信封 > 信封
